item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales
FDA15,0.2825245608812147,0.0,0.04886645352965088,0.26666666666666666,0.9275071477565213,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.28358665714577175
DRC01,0.0812741887466508,0.25,0.058705077339707916,0.5333333333333333,0.07206840114364103,0.6666666666666666,1.0,0.0,1.0,1.0,0.031418953381617876
FDN15,0.7707651086632926,0.0,0.051036957937098795,0.6,0.4682884094289265,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.15811486279710293
FDX07,0.8719857100327477,0.25,0.0,0.0,0.6400934811102282,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.053555034173212286
NCD19,0.26049419470080376,0.0,0.0,0.13333333333333333,0.09580455554876435,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.07365092318677957
FDP36,0.3477225364691872,0.25,0.0,0.4,0.08536051178615812,0.6666666666666666,1.0,0.0,1.0,1.0,0.0400897684382332
FDO10,0.5415302173265852,0.25,0.03879853899017947,0.06666666666666667,0.11192266161400077,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.023768234214016117
FDP10,0.4790116105983923,0.0,0.38816495331655726,0.06666666666666667,0.32458709397007796,0.0,0.0,0.0,1.0,0.6666666666666666,0.3056207283484648
FDH17,0.6933611193807679,0.25,0.05081478068025188,0.2,0.2787905181019905,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.07992451290421301
FDU28,0.8719857100327477,0.25,0.2876132566236265,0.2,0.6643992488913338,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.35830868101601554
FDY07,0.43137838642453114,0.0,0.0,0.0,0.06048513062907048,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.11358767724166072
FDA03,0.8303066388806192,0.25,0.1384440505345476,0.26666666666666666,0.4788665797390814,0.2222222222222222,0.5,0.5,0.0,0.0,0.1650005100479445
FDX32,0.6278654361417088,0.25,0.30455620232260483,0.0,0.4846747685892604,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.11919820463123534
FDS46,0.7767192616850254,0.25,0.14390569620694904,0.06666666666666667,0.37516468702673705,0.2222222222222222,0.5,0.5,0.0,0.0,0.1617872079975518
FDF32,0.7022923489133671,0.0,0.2071442602614004,0.0,0.7009920271105406,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.14893399979598085
FDP49,0.2646621018160167,0.25,0.2103863136933969,0.9333333333333333,0.1064158330447066,0.2222222222222222,0.5,0.5,0.0,0.0,0.11598490258084261
NCB42,0.43137838642453114,0.0,0.0261762726785027,0.4666666666666667,0.35679019891476343,0.6666666666666666,1.0,0.0,1.0,1.0,0.12169743955931858
FDP49,0.2646621018160167,0.25,0.21071340858031198,0.9333333333333333,0.09792681104795281,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.052483933489748044
DRI11,0.4790116105983923,0.0,0.10425890910976023,0.7333333333333333,0.34802188809431645,0.0,0.0,0.0,1.0,0.6666666666666666,0.1739263490768132
FDU02,0.5236677582613872,0.0,0.31210397431539433,0.26666666666666666,0.845698442773805,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.2079975517698664
FDN22,0.8511461744566835,0.25,0.4208102502265074,0.06666666666666667,0.9320199118499957,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.28664694481281244
FDW12,0.4790116105983923,0.25,0.10779810836929646,0.4,0.4807095464145767,0.0,0.0,0.0,1.0,0.6666666666666666,0.30878302560440685
NCB30,0.5980946710330455,0.0,0.07825469659413388,0.13333333333333333,0.7012713159342339,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.11904519024788332
FDC37,0.4790116105983923,0.0,0.17526974586400595,0.4,0.3242967694177889,1.0,0.0,0.5,0.0,0.3333333333333333,0.013873304090584517
FDR28,0.5534385233700505,0.25,0.07885870532582402,0.2,0.567622700323941,0.2222222222222222,0.5,0.5,0.0,0.0,0.3098541262878711
NCD06,0.502828222685323,0.0,0.3041713043807773,0.13333333333333333,0.06203777275227679,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.06171580128532083
FDV10,0.18398332837153913,0.25,0.2030915815621081,0.06666666666666667,0.04677960461531148,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.07905743139855147
DRJ59,0.42244715689193213,1.0,0.058942343319402325,0.7333333333333333,0.03321924087769696,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.02111598490258084
FDE51,0.08157189639773742,0.25,0.49168996582695085,0.26666666666666666,0.06035100408152178,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.011119045190247886
FDC14,0.4790116105983923,0.25,0.21992628432620498,0.3333333333333333,0.05244263118934595,1.0,0.0,0.5,0.0,0.3333333333333333,0.007089666428644293
FDV38,0.8749627865436141,0.0,0.5187370481356873,0.26666666666666666,0.10401428872182494,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.009996939712332962
NCS17,0.8362607919023519,0.0,0.2461376371433965,0.4666666666666667,0.2765451717838492,0.6666666666666666,1.0,0.0,1.0,1.0,0.2074875038253596
