Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,0.13423419
FDW14,OUT017,0.10977399
NCN55,OUT010,0.13145103
FDQ58,OUT017,0.1699743
FDY38,OUT027,0.46187046
FDH56,OUT046,0.14338249
FDL48,OUT018,0.05074378
FDC48,OUT027,0.17803194
FDN33,OUT045,0.12870528
FDA36,OUT017,0.20644255
FDT44,OUT017,0.12377586
FDQ56,OUT045,0.111502275
NCC54,OUT019,0.022598336
FDU11,OUT049,0.16265576
DRL59,OUT013,0.06664284
FDM24,OUT049,0.20459986
FDI57,OUT045,0.25572637
DRC12,OUT018,0.22568566
NCM42,OUT027,0.23757745
FDA46,OUT010,0.070927
FDA31,OUT013,0.20528838
NCJ31,OUT035,0.31694385
FDG52,OUT046,0.054709516
NCL19,OUT019,0.022598336
FDS10,OUT035,0.24126042
FDX22,OUT010,0.07754692
NCF19,OUT035,0.08346519
NCE06,OUT046,0.19792709
DRC27,OUT046,0.29068288
FDE21,OUT035,0.1838154
NCR42,OUT019,0.022598336
FDX51,OUT018,0.21872543
NCR06,OUT018,0.043811206
FDU31,OUT027,0.43700883
FDU59,OUT017,0.18515342
FDR03,OUT027,0.40009806
FDS49,OUT027,0.17808108
FDD48,OUT010,0.022598336
NCF18,OUT017,0.2202155
NCD43,OUT027,0.22579461
NCD54,OUT018,0.16983978
FDY19,OUT010,0.022598336
NCY54,OUT017,0.19726424
NCL19,OUT018,0.1702528
FDP23,OUT010,0.088302
FDC26,OUT013,0.12998067
FDR14,OUT010,0.022598336
NCS41,OUT035,0.2600876
FDF41,OUT035,0.33682764
FDU34,OUT046,0.1397855
DRH11,OUT046,0.06576827
FDM03,OUT013,0.12189551
FDS31,OUT017,0.21297413
FDJ20,OUT017,0.13017151
FDV44,OUT027,0.3825351
FDG02,OUT049,0.24795523
FDA09,OUT013,0.22338082
FDT04,OUT013,0.037990496
FDL58,OUT019,0.022598336
FDE52,OUT045,0.12725061
FDW12,OUT035,0.22059636
FDL51,OUT017,0.2571104
NCY42,OUT027,0.29696873
FDR07,OUT017,0.09358783
FDN40,OUT045,0.19193311
FDB35,OUT027,0.1789829
FDA22,OUT017,0.20709363
NCL06,OUT046,0.30445677
FDI35,OUT013,0.2267142
NCW42,OUT045,0.28310987
NCX06,OUT049,0.22108738
FDC37,OUT027,0.2288892
FDZ14,OUT018,0.13154458
DRG49,OUT049,0.32091072
NCG06,OUT045,0.32427365
DRC36,OUT045,0.23334904
FDV21,OUT019,0.022598336
FDB53,OUT046,0.16982345
DRP47,OUT019,0.022598336
FDA14,OUT013,0.18257652
DRC24,OUT035,0.21848068
FDW21,OUT018,0.10028548
NCH29,OUT046,0.12158725
FDU58,OUT013,0.22264297
FDY27,OUT017,0.19602124
FDV56,OUT035,0.16683003
FDT59,OUT046,0.29902804
FDB23,OUT046,0.28301477
FDR49,OUT045,0.056598343
FDB03,OUT010,0.13977359
FDN39,OUT045,0.22153543
FDX02,OUT027,0.447352
FDQ16,OUT027,0.23252177
FDU35,OUT018,0.104187936
NCT29,OUT013,0.14714761
FDZ27,OUT046,0.055910133
FDN57,OUT017,0.15592451
FDA03,OUT018,0.17600751
FDZ36,OUT045,0.23467584
NCU05,OUT013,0.094999775
FDT39,OUT018,0.16372193
FDK60,OUT017,0.10367323
FDZ25,OUT017,0.20447525
FDG12,OUT046,0.1696743
DRB01,OUT019,0.022598336
NCC43,OUT027,0.5017329
FDX13,OUT019,0.022598336
FDM22,OUT049,0.070783354
FDJ03,OUT027,0.11432988
FDU14,OUT018,0.28682706
FDB33,OUT010,0.03469619
FDP27,OUT046,0.23311293
FDO38,OUT010,0.022598336
FDE28,OUT027,0.45925725
FDO27,OUT035,0.14528474
DRL23,OUT027,0.21951868
FDS28,OUT046,0.06420971
FDX24,OUT013,0.116518565
FDZ02,OUT035,0.1579546
FDL46,OUT045,0.14471248
FDS60,OUT027,0.36124116
NCO06,OUT017,0.022598336
FDO16,OUT035,0.14108798
FDC60,OUT049,0.11811292
FDA48,OUT018,0.24772365
FDZ36,OUT027,0.36949652
FDK27,OUT045,0.16501132
FDW23,OUT018,0.03243537
FDM14,OUT018,0.124130964
FDM14,OUT013,0.13215709
FDW60,OUT018,0.19057776
FDE21,OUT013,0.14153287
NCM42,OUT035,0.17121875
FDY59,OUT010,0.022598336
DRI49,OUT049,0.091054425
FDT28,OUT019,0.022598336
FDQ22,OUT018,0.038329944
FDR60,OUT049,0.09885062
FDC50,OUT019,0.022598336
FDV24,OUT013,0.18036821
DRF48,OUT010,0.051702157
FDQ47,OUT046,0.033677127
DRN36,OUT049,0.1430486
NCY06,OUT035,0.18441889
FDE52,OUT035,0.14651969
NCB54,OUT045,0.16964298
NCF31,OUT035,0.22244477
FDJ08,OUT027,0.3905704
NCC07,OUT017,0.11307671
NCD19,OUT027,0.1327142
FDL46,OUT049,0.14978793
FDM20,OUT045,0.30108657
NCI06,OUT010,0.05023372
DRM11,OUT035,0.36112845
NCH07,OUT018,0.17714079
FDS23,OUT013,0.15694043
FDO49,OUT018,0.06016308
FDS35,OUT049,0.082223214
DRK39,OUT045,0.113785185
DRI39,OUT049,0.06851784
FDV04,OUT017,0.18231988
NCN14,OUT035,0.25091776
FDH08,OUT013,0.29762328
FDS20,OUT046,0.2262898
FDV40,OUT049,0.09503239
FDZ48,OUT010,0.022598336
FDS24,OUT027,0.18395722
FDK44,OUT049,0.21367016
FDS48,OUT045,0.19992329
FDK26,OUT010,0.052791536
FDD23,OUT045,0.24785861
NCH54,OUT017,0.19610828
NCP14,OUT010,0.022598336
FDM60,OUT010,0.022598336
FDV24,OUT017,0.16798133
